Date,Bid_Open,Bid_High,Bid_Low,Bid_Close,Ask_Open,Ask_High,Ask_Low,Ask_Close,macd,macdsignal,macdhist,ema200
2020-08-31 14:00:00,1.19236,1.19652,1.19229,1.19599,1.19249,1.19668,1.19243,1.19614,0.0015308400091149643,0.0012917827272231472,0.00023905728189181717,1.184193849999999
2020-08-31 15:00:00,1.19596,1.19597,1.19417,1.19503,1.19613,1.19617,1.19431,1.19515,0.0016333523016653917,0.001360096642111596,0.0002732556595537957,1.1843016723880588
2020-08-31 16:00:00,1.19503,1.19514,1.19393,1.19436,1.19518,1.19529,1.19406,1.19449,0.0016416072054965536,0.0014163987547885875,0.00022520845070796614,1.1844017552498691
2020-08-31 17:00:00,1.19437,1.19496,1.19417,1.19429,1.19451,1.1951,1.1943,1.19442,0.0016237829027374584,0.0014578755843783616,0.00016590731835909676,1.1845001457448954
2020-08-31 18:00:00,1.19428,1.19429,1.1933,1.19337,1.19441,1.19443,1.19343,1.19359,0.001517923031313817,0.0014698850737654527,4.803795754836429e-05,1.184588403001165
2020-08-31 19:00:00,1.19338,1.19366,1.19252,1.19324,1.19354,1.19383,1.19266,1.19337,0.0014073157470779751,0.0014573712084279572,-5.005546134998211e-05,1.1846744885434422
2020-08-31 20:00:00,1.19325,1.19382,1.19277,1.19348,1.19338,1.19411,1.19291,1.19375,0.001323765131256982,0.0014306499929937623,-0.00010688486173678026,1.1847621055728605
2020-08-31 21:00:00,1.19307,1.19368,1.19287,1.19368,1.19407,1.19418,1.19387,1.19412,0.001259174020499687,0.0013963547984949473,-0.0001371807779952602,1.1848508408407923
2020-08-31 22:00:00,1.19371,1.19394,1.19357,1.19367,1.19403,1.19414,1.19371,1.19381,0.0011934211671087436,0.0013557680722177065,-0.00016234690510896288,1.184938593668247
2020-08-31 23:00:00,1.19365,1.19405,1.19353,1.19361,1.1938,1.19421,1.19367,1.19375,0.0011235188327756163,0.0013093182243292885,-0.00018579939155367224,1.1850248763183142
2020-09-01 00:00:00,1.19363,1.19476,1.19355,1.19405,1.19377,1.19489,1.1937,1.19419,0.001091048128294858,0.0012656642051224025,-0.00017461607682754438,1.1851146785440025
2020-09-01 01:00:00,1.19407,1.19733,1.19407,1.197,1.19421,1.1975,1.19421,1.19715,0.0012885021560857801,0.001270231795315078,1.8270360770702076e-05,1.1852329404490374
2020-09-01 02:00:00,1.19701,1.19939,1.19648,1.19905,1.19717,1.19957,1.19664,1.19922,0.0015920515834879634,0.0013345957529496552,0.00025745583053830823,1.1853704236286489
2020-09-01 03:00:00,1.19906,1.19967,1.19846,1.19889,1.19924,1.19981,1.19862,1.19904,0.001798968638193399,0.001427470329998404,0.00037149830819499497,1.1855049467766225
2020-09-01 04:00:00,1.19891,1.19944,1.19863,1.1987,1.19905,1.19959,1.19878,1.19883,0.0019254253774847463,0.0015270613394956724,0.0003983640379890739,1.1856362408385468
2020-09-01 05:00:00,1.1987,1.19943,1.19828,1.1993,1.19886,1.19957,1.19844,1.19944,0.0020504222486961154,0.001631733521335761,0.0004186887273603544,1.1857721986411482
2020-09-01 06:00:00,1.19929,1.1993,1.19745,1.19761,1.19943,1.19944,1.19759,1.19775,0.0019901728201727753,0.0017034213811031639,0.0002867514390696114,1.1858899877093956
2020-09-01 07:00:00,1.19759,1.19961,1.19636,1.199,1.19774,1.19976,1.19656,1.19915,0.00203117201070091,0.0017689715070227131,0.000262200503678197,1.1860204355928843
2020-09-01 08:00:00,1.19899,1.19906,1.19604,1.19728,1.19913,1.19922,1.19629,1.19741,0.0019029386470328369,0.0017957649350247378,0.00010717371200809908,1.1861324710596217
2020-09-01 09:00:00,1.19725,1.19818,1.19628,1.19802,1.1974,1.19832,1.19643,1.19816,0.001839816340488909,0.001804575216117572,3.524112437133689e-05,1.1862507549296752
2020-09-01 10:00:00,1.19804,1.19938,1.19691,1.19867,1.19817,1.19959,1.19704,1.1988,0.0018212468257836623,0.00180790953805079,1.3337287732872235e-05,1.1863743295074893
2020-09-01 11:00:00,1.19865,1.19947,1.19786,1.1987,1.19879,1.19961,1.19799,1.19884,0.001788336273512936,0.0018039948851432193,-1.5658611630283304e-05,1.186496972994977
2020-09-01 12:00:00,1.19869,1.19898,1.19764,1.1988,1.19883,1.1991,1.19775,1.19894,0.0017501489602123055,0.0017932257001570366,-4.3076739944731103e-05,1.1866193911741314
2020-09-01 13:00:00,1.19879,1.20105,1.19634,1.19739,1.19892,1.20123,1.19649,1.1976,0.0015878067750314528,0.00175214191513192,-0.00016433514010046708,1.1867265614112048
2020-09-01 14:00:00,1.19738,1.19745,1.19353,1.19627,1.19758,1.19768,1.19368,1.19641,0.0013531762108578427,0.0016723487742771044,-0.0003191725634192617,1.186821520999153
2020-09-01 15:00:00,1.19628,1.19657,1.19443,1.19481,1.19642,1.19671,1.19457,1.19495,0.0010374607977776673,0.001545371178977217,-0.0005079103811995497,1.1869010083523952
2020-09-01 16:00:00,1.19482,1.19502,1.19312,1.19335,1.19496,1.19515,1.19328,1.19348,0.0006618152656177045,0.0013686599963053144,-0.0007068447306876099,1.1869651774235157
2020-09-01 17:00:00,1.19333,1.19334,1.19048,1.19148,1.19347,1.19349,1.19063,1.19165,0.00021079024451675643,0.0011370860459476028,-0.0009262958014308463,1.187010101031242
2020-09-01 18:00:00,1.19151,1.19186,1.19034,1.19095,1.19165,1.192,1.19049,1.19108,-0.00018725830756549655,0.0008722171752449828,-0.0010594754828104794,1.1870493040060555
2020-09-01 19:00:00,1.19093,1.19118,1.19006,1.19118,1.19107,1.19132,1.19021,1.19132,-0.00047863813261495025,0.0006020461136729961,-0.0010806842462879464,1.1870904054587315
2020-09-01 20:00:00,1.1912,1.19142,1.19083,1.19108,1.19132,1.19158,1.19098,1.1913,-0.0007094498116979597,0.00033974692859880493,-0.0010491967402967647,1.1871301029168535
2020-09-01 21:00:00,1.19108,1.19165,1.19098,1.19148,1.19159,1.19223,1.19145,1.19183,-0.0008502914427548358,0.00010173925432807677,-0.0009520306970829126,1.1871733854748947
2020-09-01 22:00:00,1.1914,1.19207,1.19135,1.19172,1.19184,1.19224,1.19153,1.19188,-0.000931802219876321,-0.0001049690405128028,-0.0008268331793635181,1.1872186254204182
